policy,p_c,C_cap,Q_star,T_star,G_star,demand,cost,emissions,psi_star
cap_and_trade,2.413793103448276,10.0,1195.7741098173801,3.9859136993912667,2.585714285714286,300.0,2.051432324448786,0.8331425150758731,nan
strict_cap,2.413793103448276,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,2.586206896551724,10.0,1224.2737803551395,4.080912601183798,2.6133333333333333,300.0,26.31976430661755,0.6819216673904691,nan
cap_and_trade,2.586206896551724,10.0,1224.2737803551395,4.080912601183798,2.6133333333333333,300.0,0.4576953411003082,0.6819216673904691,nan
strict_cap,2.586206896551724,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,2.7586206896551726,10.0,1252.1669118755565,4.173889706251855,2.6375,300.0,26.425273236251115,0.54402146536881,nan
cap_and_trade,2.7586206896551726,10.0,1252.1669118755565,4.173889706251855,2.6375,300.0,-1.1609336603006106,0.54402146536881,nan
strict_cap,2.7586206896551726,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,2.931034482758621,10.0,1279.4860517542265,4.264953505847422,2.6588235294117646,300.0,26.508008284783084,0.4174512866832387,nan
cap_and_trade,2.931034482758621,10.0,1279.4860517542265,4.264953505847422,2.6588235294117646,300.0,-2.8023365428031255,0.4174512866832387,nan
strict_cap,2.931034482758621,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,3.1034482758620694,10.0,1306.2617627131651,4.354205875710551,2.677777777777778,300.0,26.56978190457386,0.30063429529119023,nan
cap_and_trade,3.1034482758620694,10.0,1306.2617627131651,4.354205875710551,2.677777777777778,300.0,-4.464700854046836,0.30063429529119023,nan
strict_cap,3.1034482758620694,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,3.2758620689655173,10.0,1332.5225676475122,4.441741892158374,2.694736842105263,300.0,26.61216234435468,0.192299798247892,nan
cap_and_trade,3.2758620689655173,10.0,1332.5225676475122,4.441741892158374,2.694736842105263,300.0,-6.146458345300495,0.192299798247892,nan
strict_cap,3.2758620689655173,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,3.4482758620689657,10.0,1358.2949945515363,4.527649981838454,2.71,300.0,26.636519610710018,0.09140848131363999,nan
cap_and_trade,3.4482758620689657,10.0,1358.2949945515363,4.527649981838454,2.71,300.0,-7.846239009979641,0.09140848131363999,nan
strict_cap,3.4482758620689657,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,3.620689655172414,10.0,1383.6036735805376,4.612012245268459,2.723809523809524,300.0,26.644060523206935,-0.002900801242468276,nan
cap_and_trade,3.620689655172414,10.0,1383.6036735805376,4.612012245268459,2.723809523809524,300.0,-9.562836028517207,-0.002900801242468276,nan
strict_cap,3.620689655172414,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,3.793103448275862,10.0,1408.4714586537004,4.694904862179001,2.7363636363636363,300.0,26.635855926059193,-0.0913497239515948,nan
cap_and_trade,3.793103448275862,10.0,1408.4714586537004,4.694904862179001,2.7363636363636363,300.0,-11.295178556699426,-0.0913497239515948,nan
strict_cap,3.793103448275862,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,3.9655172413793105,10.0,1432.9195577381606,4.776398525793868,2.747826086956522,300.0,26.61286214226869,-0.17454917957237015,nan
cap_and_trade,3.9655172413793105,10.0,1432.9195577381606,4.776398525793868,2.747826086956522,300.0,-13.042310271524414,-0.17454917957237015,nan
strict_cap,3.9655172413793105,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
tax,4.137931034482759,10.0,1456.9676628428006,4.856558876142668,2.7583333333333333,300.0,26.57593812349364,-0.25302091790702086,nan
cap_and_trade,4.137931034482759,10.0,1456.9676628428006,4.856558876142668,2.7583333333333333,300.0,-14.803372221333948,-0.25302091790702086,nan
strict_cap,4.137931034482759,10.0,817.7855455448822,2.7259518184829408,0.3947820904699122,300.0,16.437866870628742,9.999999994051832,0.3838450504819282
