policy,n,Q_star,T_star,B_star,x_star,G_star,demand,cost,emissions,psi_star
strict_cap,0.9482758620689655,782.5451201839397,2.608483733946466,214.10644638361765,0.27360268546980554,0.6460530660614552,300.0,17.512150120050258,9.999999999912394,0.4248184126762933
tax,1.110344827586207,809.506975014794,2.6983565833826466,230.56878853593486,0.284826191314437,1.0,300.0,21.985756522877598,7.936930887878811,nan
cap_and_trade,1.110344827586207,809.506975014794,2.6983565833826466,230.56878853593486,0.284826191314437,1.0,300.0,16.985756522877598,7.936930887878811,nan
strict_cap,1.110344827586207,796.3509535413918,2.6545031784713062,220.64141169166027,0.27706554592603,0.565532726867171,300.0,17.085116536812755,10.000000097523063,0.4107674853698632
tax,1.2724137931034485,821.6334248570705,2.7387780828569017,236.53133338701815,0.28787939515504085,1.0,300.0,21.657580017367515,7.685024711705424,nan
cap_and_trade,1.2724137931034485,821.6334248570705,2.7387780828569017,236.53133338701815,0.28787939515504085,1.0,300.0,16.657580017367515,7.685024711705424,nan
strict_cap,1.2724137931034485,806.5476887204928,2.688492295734976,225.5094297013554,0.2795983831521525,0.5054998399415229,300.0,16.782601979721512,10.000000001109534,0.4008819145461821
tax,1.4344827586206899,829.9646922347623,2.7665489741158744,240.74254402327233,0.29006359701284296,1.0,300.0,21.437669570055057,7.50565407920055,nan
cap_and_trade,1.4344827586206899,829.9646922347623,2.7665489741158744,240.74254402327233,0.29006359701284296,1.0,300.0,16.437669570055057,7.50565407920055,nan
strict_cap,1.4344827586206899,813.4199281488377,2.7113997604961257,228.95062140400853,0.28146669817279873,0.4615648288463823,300.0,16.582791719573176,10.00000000000007,0.39394348587816796
tax,1.5965517241379312,835.0164572657106,2.7833881908857023,243.5112926575195,0.29162454289213097,1.0,300.0,21.306461364775444,7.382191335002219,nan
cap_and_trade,1.5965517241379312,835.0164572657106,2.7833881908857023,243.5112926575195,0.29162454289213097,1.0,300.0,16.306461364775444,7.382191335002219,nan
strict_cap,1.5965517241379312,817.3965122109483,2.724655040703161,231.19059719198023,0.2828377583440386,0.4305125359753865,300.0,16.466361536397947,9.999999890885407,0.38918267319883715
tax,1.7586206896551726,837.3286843298453,2.7910956144328174,245.10120992469726,0.29271803834221166,1.0,300.0,21.246934640912606,7.302780635100611,nan
cap_and_trade,1.7586206896551726,837.3286843298453,2.7910956144328174,245.10120992469726,0.29271803834221166,1.0,300.0,16.246934640912606,7.302780635100611,nan
strict_cap,1.7586206896551726,818.953745101338,2.7298458170044597,232.43747420565577,0.28382246933481425,0.4099270591916242,300.0,16.41681650704555,9.9999999993442,0.3860895128644117
tax,1.920689655172414,837.4170634116966,2.791390211372322,245.73762433655332,0.29344711861423123,1.0,300.0,21.244665903590203,7.2586652248233445,nan
cap_and_trade,1.920689655172414,837.4170634116966,2.791390211372322,245.73762433655332,0.29344711861423123,1.0,300.0,16.244665903590203,7.2586652248233445,nan
strict_cap,1.920689655172414,818.5588956010434,2.7285296520034783,232.877794063307,0.2844972980133723,0.3979538455763918,300.0,16.420342846993393,9.999999996351535,0.3843129370706781
tax,2.0827586206896553,835.7472752387047,2.7858242507956823,245.61120951045888,0.2938821540761923,1.0,300.0,21.287611348907866,7.24321615170933,nan
cap_and_trade,2.0827586206896553,835.7472752387047,2.7858242507956823,245.61120951045888,0.2938821540761923,1.0,300.0,16.287611348907866,7.24321615170933,nan
strict_cap,2.0827586206896553,816.6393830867003,2.7221312769556674,232.67410921074443,0.28491659112899054,0.3931428664959937,300.0,16.4655003639193,9.999999991551412,0.38360368397168365
tax,2.2448275862068967,832.7240519199715,2.7757468397332383,244.88113779550565,0.2940723727516878,1.0,300.0,21.365804129228984,7.251329555639963,nan
cap_and_trade,2.2448275862068967,832.7240519199715,2.7757468397332383,244.88113779550565,0.2940723727516878,1.0,300.0,16.365804129228984,7.251329555639963,nan
strict_cap,2.2448275862068967,813.5686765145712,2.711895588381904,231.9646281555504,0.28511991040426427,0.39434286461175727,300.0,16.54288183898413,9.999999988236,0.38378034716029513
tax,2.406896551724138,828.6894864023235,2.762298288007745,243.6784514175328,0.2940527850491257,1.0,300.0,21.47104303886526,7.279031832781785,nan
